uno_pc_time_sec,uno_edge_us,mega_evt_pc_time_sec,mega_evt_us,tag,value,dropped_reported
1778960922.388291,256352,1778960922.356956,961720,CMD,START_BEHAVIOR,
1778960922.388291,257064,1778960922.356956,962436,CUE1,13000,
1778960922.388291,257832,1778960922.358157,963208,CUE2,13000,
1778960922.388291,260212,1778960922.358157,965588,CORRECT_TURN,Right,
1778960922.388291,263268,1778960922.360684,968648,TRAINING_STAGE,3,
1778960922.388291,266156,1778960922.360684,971536,TONE_HIGH_HZ,13000,
1778960922.388291,269220,1778960922.364832,974596,TONE_LOW_HZ,4000,
1778960922.388291,272100,1778960922.369034,977484,WM_GATE_DELAY_DEFAULT_MS,3000,
1778960922.388291,276092,1778960922.372079,981480,WM2_AUDIO_CUE,1,
1778960924.500646,2384000,1778960924.484455,3091368,CMD,OPEN_WM,0
1778960935.341106,13230536,1778960935.341106,13948072,SENSOR,WM1,0
1778960935.382058,13231356,1778960935.341106,13948900,CUE1,4000,0
1778960935.382058,13232152,1778960935.342329,13949696,CUE2,4000,0
1778960935.382058,13232956,1778960935.344502,13950500,CORRECT_TURN,Left,0
1778960935.990873,13851484,1778960935.959923,14569608,SENSOR,WM1,0
1778960937.111785,14992208,1778960937.118774,15711404,SENSOR,Wait Sensor,0
1778960942.183069,20055156,1778960942.173394,20779100,SENSOR,Wait Sensor,0
1778960943.620769,21468040,1778960943.589361,22193312,SENSOR,Gate,0
1778960944.488104,22346828,1778960944.472777,23072924,SENSOR,WM2,0
1778960948.398116,26235368,1778960948.372497,26965112,SENSOR,Lick Right,0
1778960953.007527,30847256,1778960952.976919,31581324,SENSOR,Right Back,0
1778960954.380965,32246816,1778960954.383822,32982200,SENSOR,Right Front,0
1778960955.942469,33749652,1778960955.880815,34486444,SENSOR,Return Right,0
1778960975.243494,53042072,1778960975.212071,53796948,SENSOR,WM1,0
1778960975.243494,53042896,1778960975.212071,53797776,CUE1,13000,0
1778960975.243494,53043744,1778960975.212071,53798628,CUE2,13000,0
1778960975.243494,53044592,1778960975.213232,53799476,CORRECT_TURN,Right,0
1778960975.928969,53721432,1778960975.884035,54476952,SENSOR,Wait Sensor,0
1778960979.166051,56996116,1778960979.166051,57754712,SENSOR_FAST,Gate,0
1778960979.537521,57350124,1778960979.521783,58109048,SENSOR,WM2,0
1778960981.222009,59035036,1778960981.206212,59795540,SENSOR,Lick Right,0
1778960986.758420,64553432,1778960986.727229,65319120,SENSOR,Right Back,0
1778960987.567341,65362628,1778960987.536419,66129072,SENSOR,Right Front,0
1778960988.128942,65941608,1778960988.117217,66708596,SENSOR,Return Right,0
1778960993.416456,71230752,1778960993.419004,72002704,SENSOR,WM1,0
1778960993.416456,71231580,1778960993.419004,72003532,CUE1,4000,0
1778960993.416456,71232376,1778960993.419004,72004332,CUE2,4000,0
1778960993.416456,71233184,1778960993.419519,72005140,CORRECT_TURN,Left,0
1778960994.100776,71908060,1778960994.100776,72680648,SENSOR,Wait Sensor,0
1778960997.146383,74942252,1778960997.142163,75717692,SENSOR_FAST,Gate,0
1778960997.457755,75227720,1778960997.411243,76003424,SENSOR,WM2,0
1778961000.503974,78300972,1778961000.488111,79079560,SENSOR,Lick Left,0
1778961010.469136,88245944,1778961010.459985,89033872,SENSOR,Left Back,0
1778961011.526182,89296592,1778961011.497218,90085504,SENSOR,Left Front,0
1778961012.525462,90288908,1778961012.493990,91078752,SENSOR,Return Left,0
1778961017.069051,94842472,1778961017.053055,95636588,SENSOR,WM1,0
1778961017.069051,94843300,1778961017.054051,95637420,CUE1,4000,0
1778961017.069051,94844108,1778961017.055070,95638228,CUE2,4000,0
1778961017.069051,94844908,1778961017.059368,95639028,CORRECT_TURN,Left,0
1778961017.754969,95488024,1778961017.708252,96282752,SENSOR,Wait Sensor,0
1778961020.284760,97917824,1778961020.133356,98714828,SENSOR,Wait Sensor,0
1778961020.720726,98488568,1778961020.704665,99286112,SENSOR_FAST,Gate,0
1778961020.968924,98754672,1778961020.968924,99552464,SENSOR,WM2,0
1778961022.332887,100111108,1778961022.333915,100910172,SENSOR,Lick Left,0
1778961028.682650,106418164,1778961028.651010,107223152,SENSOR,Left Back,0
1778961029.365881,107103732,1778961029.332325,107909368,SENSOR,Left Front,0
1778961029.798926,107551632,1778961029.784772,108357688,SENSOR,Return Left,0
1778961033.798957,111555844,1778961033.798957,112365660,SENSOR,WM1,0
1778961033.798957,111556724,1778961033.798957,112366540,CUE1,13000,0
1778961033.798957,111557620,1778961033.798957,112367436,CUE2,13000,0
1778961033.798957,111558524,1778961033.800155,112368344,CORRECT_TURN,Right,0
1778961034.229068,111999976,1778961034.230183,112810208,SENSOR,Wait Sensor,0
1778961037.461793,115168136,1778961037.415027,115981344,SENSOR_FAST,Gate,0
1778961037.650037,115406708,1778961037.650037,116220140,SENSOR,WM2,0
1778961038.768389,116476668,1778961038.722817,117291104,SENSOR,Lick Right,0
1778961045.805064,123506000,1778961045.757638,124327040,SENSOR,Right Back,0
1778961046.490721,124231408,1778961046.476177,125053128,SENSOR,Right Front,0
1778961047.175145,124903504,1778961047.159233,125725856,SENSOR,Return Right,0
1778961048.672769,126369448,1778961048.626496,127193176,SENSOR,Return Right,0
1778961055.832225,133578836,1778961055.834481,134409336,SENSOR,WM1,0
1778961055.893071,133579732,1778961055.838850,134410232,CUE1,13000,0
1778961055.893071,133580656,1778961055.839363,134411156,CUE2,13000,0
1778961055.893071,133581548,1778961055.842416,134412052,CORRECT_TURN,Right,0
1778961056.456811,134136428,1778961056.392742,134967448,SENSOR,Wait Sensor,0
1778961059.514720,137229040,1778961059.501483,138062972,SENSOR_FAST,Gate,0
1778961059.762934,137484812,1778961059.747231,138318980,SENSOR,WM2,0
1778961060.886021,138607072,1778961060.870736,139442296,SENSOR,Lick Right,0
1778961065.670897,143371476,1778961065.639563,144211168,SENSOR,Right Back,0
1778961066.545050,144268644,1778961066.545050,145109188,SENSOR,Right Front,0
1778961068.411759,146134540,1778961068.411759,146976836,SENSOR,Return Right,0
1778961071.784460,149452304,1778961071.737742,150297716,SENSOR,WM1,0
1778961071.784460,149453188,1778961071.737742,150298600,CUE1,4000,0
1778961071.784460,149454040,1778961071.737742,150299452,CUE2,4000,0
1778961071.784460,149454892,1778961071.738981,150300304,CORRECT_TURN,Left,0
1778961072.529317,150244128,1778961072.529317,151090284,SENSOR,Wait Sensor,0
1778961073.835398,151557788,1778961073.836396,152405180,SENSOR,Wait Sensor,0
1778961075.703265,153393032,1778961074.858329,153421984,SENSOR,Wait Sensor,0
1778961076.613002,154295368,1778961075.420782,153989224,SENSOR_FAST,Gate,0
1778961089.778740,167456744,1778961075.674287,154242148,SENSOR,WM2,0
1778961098.493814,176131072,1778961076.586498,155145332,SENSOR,Lick Left,0
1778961098.493814,176131956,1778961085.801861,164362372,SENSOR,Left Back,0
1778961098.493814,176132804,1778961088.479241,167043260,SENSOR,Left Front,0
1778961098.493814,176133656,1778961089.764094,168319072,SENSOR,Return Left,0
1778961099.179233,176834040,1778961098.447802,177001552,SENSOR,WM1,0
1778961100.919311,178570040,1778961098.448799,177002432,CUE1,4000,0
1778961102.044038,179725972,1778961098.448799,177003284,CUE2,4000,0
1778961102.229187,179916372,1778961098.448799,177004136,CORRECT_TURN,Left,0
1778961103.153797,180801300,1778961099.154976,177705176,SENSOR,Wait Sensor,0
1778961118.914464,196552988,1778961100.888341,179442812,SENSOR,Wait Sensor,0
1778961120.159219,197820564,1778961102.044038,180599828,SENSOR_FAST,Gate,0
1778961121.338249,198962372,1778961102.238058,180790408,SENSOR,WM2,0
1778961121.834461,199451280,1778961103.115983,181676164,SENSOR,Lick Left,0
1778961128.250936,205859572,1778961118.899199,197442660,SENSOR,Lick Left,0
1778961128.250936,205860456,1778961120.159219,198711428,SENSOR,Left Back,0
1778961128.250936,205861308,1778961121.308124,199854308,SENSOR,Left Front,0
1778961128.250936,205862160,1778961121.795971,200343676,SENSOR,Return Left,0
1778961128.750967,206374252,1778961128.203689,206757992,SENSOR,WM1,0
1778961129.619116,207254016,1778961128.206931,206758876,CUE1,4000,0
1778961130.240990,207841312,1778961128.211005,206759728,CUE2,4000,0
1778961130.616691,208254612,1778961128.211005,206760580,CORRECT_TURN,Left,0
1778961131.783866,209423752,1778961128.718863,207273152,SENSOR,Wait Sensor,0
1778961132.033538,209665348,1778961129.606761,208153744,SENSOR,Wait Sensor,0
1778961132.906257,210516528,1778961130.193926,208741596,SENSOR,Wait Sensor,0
1778961134.149792,211795264,1778961130.602251,209155284,SENSOR,Wait Sensor,0
1778961140.559132,218171852,1778961131.783866,210325524,SENSOR_FAST,Gate,0
1778961144.048272,221679916,1778961132.017756,210567344,SENSOR,WM2,0
1778961145.662550,223287992,1778961132.877078,211419324,SENSOR,Lick Right,0
1778961153.448726,231043728,1778961134.149792,212699260,SENSOR,Lick Right,0
1778961153.448726,231044632,1778961140.530852,219081848,SENSOR,Right Back,0
1778961153.448726,231045500,1778961144.050775,222593212,SENSOR,Right Front,0
1778961153.448726,231046352,1778961145.654567,224202796,SENSOR,Return Right,0
1778961154.201619,231784500,1778961153.420906,231965828,SENSOR,WM1,0
1778961156.324022,233921492,1778961153.420906,231966732,CUE1,4000,0
1778961156.635191,234226468,1778961153.424320,231967600,CUE2,4000,0
1778961157.008001,234626444,1778961153.427354,231968452,CORRECT_TURN,Left,0
1778961157.257811,234869864,1778961154.171159,232707296,SENSOR,Wait Sensor,0
1778961158.068814,235665828,1778961156.308368,234846296,SENSOR,Wait Sensor,0
1778961165.904170,243474756,1778961156.606791,235151560,SENSOR,Wait Sensor,0
1778961166.528143,244082396,1778961157.009158,235551912,SENSOR_FAST,Gate,0
1778961167.215016,244772808,1778961157.257811,235795560,SENSOR,WM2,0
1778961170.386296,247947336,1778961158.055842,236592276,SENSOR,Lick Left,0
1778961170.386296,247948220,1778961165.873146,244408544,SENSOR,Left Back,0
1778961170.386296,247949116,1778961166.481166,245016756,SENSOR,Left Front,0
1778961170.386296,247950020,1778961167.168020,245707816,SENSOR,Return Left,0
1778961170.761065,248315744,1778961170.355453,248885328,SENSOR,WM1,0
1778961172.565084,250129568,1778961170.355453,248886212,CUE1,13000,0
1778961173.371179,250922468,1778961170.355453,248887108,CUE2,13000,0
1778961173.936417,251494280,1778961170.355453,248888016,CORRECT_TURN,Right,0
1778961174.123845,251707112,1778961170.719796,249254080,SENSOR,Wait Sensor,0
1778961175.000290,252578636,1778961172.533969,251069612,SENSOR,Wait Sensor,0
1778961184.466031,262044880,1778961173.323366,251863256,SENSOR,Wait Sensor,0
1778961185.647073,263192700,1778961173.907453,252435608,SENSOR_FAST,Gate,0
1778961188.700969,266250536,1778961174.111968,252648636,SENSOR,WM2,0
1778961190.944252,268505332,1778961174.984427,253520980,SENSOR,Lick Right,0
1778961195.290998,272804088,1778961184.468143,262996128,SENSOR,Right Back,0
1778961196.289439,273827228,1778961185.620846,264145028,SENSOR,Right Front,0
1778961201.274304,278819640,1778961188.672131,267205740,SENSOR,Return Right,0
1778961203.764131,281295396,1778961190.942075,269462660,SENSOR,Return Right,0
1778961213.344947,290862840,1778961195.243836,273765460,SENSOR,Return Right,0
1778961214.024995,291546220,1778961196.258047,274789564,SENSOR,Right Front,0
1778961214.582015,292087408,1778961201.258917,279786672,SENSOR,Right Back,0
1778961215.017323,292539552,1778961203.733365,282264756,SENSOR,Lick Right,0
1778961219.417439,296911948,1778961213.313285,291841204,SENSOR,Lick Right,0
1778961219.417439,296912828,1778961213.997869,292525224,SENSOR,Right Back,0
1778961219.417439,296913728,1778961214.551249,293066920,SENSOR,Right Front,0
1778961219.417439,296914632,1778961215.003096,293519492,SENSOR,Return Right,0
1778961219.936945,297461464,1778961219.370132,297896000,SENSOR,WM1,0
1778961221.988508,299474744,1778961219.371129,297896884,CUE1,13000,0
1778961222.933003,300424092,1778961219.374170,297897780,CUE2,13000,0
1778961223.121011,300635936,1778961219.378248,297898684,CORRECT_TURN,Right,0
1778961223.992139,301475816,1778961219.921827,298446032,SENSOR,Wait Sensor,0
1778961225.794823,303304956,1778961221.942381,300461204,SENSOR,Wait Sensor,0
1778961230.653944,308117384,1778961222.888466,301411448,SENSOR_FAST,Gate,0
1778961232.951104,310473416,1778961223.105986,301623492,SENSOR,WM2,0
1778961241.051845,318527820,1778961223.945994,302464160,SENSOR,Lick Left,0
1778961242.045184,319525156,1778961225.779750,304295020,SENSOR,Lick Left,0
1778961242.607859,320099092,1778961230.589026,309111972,SENSOR,Lick Left,0
1778961253.630195,331099892,1778961232.951606,311470224,SENSOR,Left Back,0
1778961253.630195,331100772,1778961241.022535,319532204,SENSOR,Left Front,0
1778961253.630195,331101668,1778961242.013633,320530476,SENSOR,Return Left,0
1778961253.630195,331102576,1778961242.592449,321104952,SENSOR,Return Left,0
1778961254.063270,331511212,1778961253.599066,332116096,SENSOR,WM1,0
1778961255.938199,333435460,1778961253.603151,332116980,CUE1,13000,0
1778961257.367597,334806300,1778961253.603151,332117876,CUE2,13000,0
1778961257.553932,335045712,1778961253.607180,332118784,CORRECT_TURN,Right,0
1778961258.594052,336047372,1778961254.016886,332527804,SENSOR,Wait Sensor,0
1778961264.743312,342168192,1778961255.938199,334453860,SENSOR,Wait Sensor,0
1778961265.240174,342687936,1778961257.320888,335825988,SENSOR_FAST,Gate,0
1778961265.554215,343033552,1778961257.553932,336065624,SENSOR,WM2,0
1778961268.294018,345770228,1778961258.565150,337068228,SENSOR,Lick Right,0
1778961268.294018,345771112,1778961264.682334,343194800,SENSOR,Right Back,0
1778961268.294018,345771964,1778961265.212116,343715036,SENSOR,Right Front,0
1778961268.294018,345772816,1778961265.554215,344060976,SENSOR,Return Right,0
1778961268.985397,346453664,1778961268.295041,346800228,SENSOR,WM1,0
1778961271.302192,348766776,1778961268.295041,346801112,CUE1,4000,0
1778961272.048042,349519588,1778961268.295041,346801964,CUE2,4000,0
1778961272.356996,349802016,1778961268.295041,346802816,CORRECT_TURN,Left,0
1778961273.666179,351098240,1778961268.985397,347484304,SENSOR,Wait Sensor,0
1778961278.076799,355538292,1778961271.290064,349799592,SENSOR,Wait Sensor,0
1778961279.823134,357263052,1778961272.048042,350553112,SENSOR_FAST,Gate,0
1778961280.192893,357640552,1778961272.326253,350835804,SENSOR,WM2,0
1778961281.252925,358674884,1778961273.622350,352133244,SENSOR,Lick Left,0
1778961282.375033,359783788,1778961278.076799,356577468,SENSOR,Left Back,0
1778961287.600938,365055540,1778961279.795413,358303852,SENSOR,Left Front,0
1778961288.160958,365583396,1778961280.177932,358681708,SENSOR,Return Left,0
1778961302.491692,379874244,1778961281.208685,359717012,SENSOR,Return Left,0
1778961303.429087,380813368,1778961282.327604,360826956,SENSOR,Return Left,0
1778961304.427577,381837464,1778961287.602088,366103668,SENSOR,Return Left,0
1778961307.295220,384719380,1778961288.129521,366632020,SENSOR,Return Left,0
1778961308.170277,385599228,1778961302.450941,380936304,SENSOR,Return Left,0
1778961309.661925,387036584,1778961303.381951,381876308,SENSOR,Return Left,0
1778961313.641270,391022376,1778961304.399421,382901368,SENSOR,Left Front,0
